#x1 x2 x3 x4 x5 y2 y
1.8 3.24 5.832 10.4976 18.89568 0.973847630878 0.973847630878
1.85 3.4225 6.331625 11.71350625 21.6699865625 0.961275202975 0.961275202975
1.9 3.61 6.859 13.0321 24.76099 0.946300087687 0.946300087687
1.95 3.8025 7.414875 14.45900625 28.1950621875 0.928959715004 0.928959715004
2.0 4.0 8.0 16.0 32.0 0.909297426826 0.909297426826
2.05 4.2025 8.615125 17.66100625 36.2050628125 0.887362368633 0.887362368633
2.1 4.41 9.261 19.4481 40.84101 0.863209366649 0.863209366649
2.15 4.6225 9.938375 21.36750625 45.9401384375 0.836898790798 0.836898790798
2.2 4.84 10.648 23.4256 51.53632 0.80849640382 0.80849640382
2.25 5.0625 11.390625 25.62890625 57.6650390625 0.778073196888 0.778073196888
2.3 5.29 12.167 27.9841 64.36343 0.745705212177 0.745705212177
2.35 5.5225 12.977875 30.49800625 71.6703146875 0.711473352791 0.711473352791
2.4 5.76 13.824 33.1776 79.62624 0.675463180551 0.675463180551
2.45 6.0025 14.706125 36.03000625 88.2735153125 0.637764702135 0.637764702135
2.5 6.25 15.625 39.0625 97.65625 0.598472144104 0.598472144104
2.55 6.5025 16.581375 42.28250625 107.820390938 0.557683717391 0.557683717391
2.6 6.76 17.576 45.6976 118.81376 0.515501371821 0.515501371821
2.65 7.0225 18.609625 49.31550625 130.686091563 0.47203054129 0.47203054129
2.7 7.29 19.683 53.1441 143.48907 0.427379880234 0.427379880234
2.75 7.5625 20.796875 57.19140625 157.276367188 0.381660992052 0.381660992052
2.8 7.84 21.952 61.4656 172.10368 0.334988150156 0.334988150156
2.85 8.1225 23.149125 65.97500625 188.028767813 0.287478012343 0.287478012343
2.9 8.41 24.389 70.7281 205.11149 0.239249329214 0.239249329214
2.95 8.7025 25.672375 75.73350625 223.413843438 0.190422647361 0.190422647361
3.0 9.0 27.0 81.0 243.0 0.14112000806 0.14112000806
3.05 9.3025 28.372625 86.53650625 263.936344063 0.0914646422324 0.0914646422324
3.1 9.61 29.791 92.3521 286.29151 0.0415806624333 0.0415806624333
3.15 9.9225 31.255875 98.45600625 310.136419688 -0.00840724736715 -0.00840724736715
3.2 10.24 32.768 104.8576 335.54432 -0.0583741434276 -0.0583741434276
3.25 10.5625 34.328125 111.56640625 362.590820313 -0.10819513453 -0.10819513453
3.3 10.89 35.937 118.5921 391.35393 -0.157745694143 -0.157745694143
3.35 11.2225 37.595375 125.94450625 421.914095938 -0.206901971673 -0.206901971673
3.4 11.56 39.304 133.6336 454.35424 -0.255541102027 -0.255541102027
3.45 11.9025 41.063625 141.66950625 488.759796563 -0.303541512708 -0.303541512708
3.5 12.25 42.875 150.0625 525.21875 -0.35078322769 -0.35078322769
3.55 12.6025 44.738875 158.82300625 563.821672188 -0.397148167286 -0.397148167286
3.6 12.96 46.656 167.9616 604.66176 -0.442520443295 -0.442520443295
3.65 13.3225 48.627125 177.48900625 647.834872813 -0.486786648656 -0.486786648656
3.7 13.69 50.653 187.4161 693.43957 -0.529836140908 -0.529836140908
3.75 14.0625 52.734375 197.75390625 741.577148438 -0.571561318742 -0.571561318742
3.8 14.44 54.872 208.5136 792.35168 -0.611857890943 -0.611857890943
3.85 14.8225 57.066625 219.70650625 845.870049063 -0.650625137065 -0.650625137065
3.9 15.21 59.319 231.3441 902.24199 -0.687766159184 -0.687766159184
3.95 15.6025 61.629875 243.43800625 961.580124688 -0.723188124087 -0.723188124087
4.0 16.0 64.0 256.0 1024.0 -0.756802495308 -0.756802495308
4.05 16.4025 66.430125 269.04200625 1089.62012531 -0.788525254426 -0.788525254426
4.1 16.81 68.921 282.5761 1158.56201 -0.818277111064 -0.818277111064
4.15 17.2225 71.473375 296.61450625 1230.95020094 -0.845983701075 -0.845983701075
4.2 17.64 74.088 311.1696 1306.91232 -0.871575772414 -0.871575772414
4.25 18.0625 76.765625 326.25390625 1386.57910156 -0.894989358229 -0.894989358229
4.3 18.49 79.507 341.8801 1470.08443 -0.916165936749 -0.916165936749
4.35 18.9225 82.312875 358.06100625 1557.56537719 -0.935052577558 -0.935052577558
4.4 19.36 85.184 374.8096 1649.16224 -0.95160207389 -0.95160207389
4.45 19.8025 88.121125 392.13900625 1745.01857781 -0.965773060621 -0.965773060621
4.5 20.25 91.125 410.0625 1845.28125 -0.977530117665 -0.977530117665
4.55 20.7025 94.196375 428.59350625 1950.10045344 -0.986843858503 -0.986843858503
4.6 21.16 97.336 447.7456 2059.62976 -0.993691003633 -0.993691003633
4.65 21.6225 100.544625 467.53250625 2174.02615406 -0.998054438759 -0.998054438759
4.7 22.09 103.823 487.9681 2293.45007 -0.999923257564 -0.999923257564
4.75 22.5625 107.171875 509.06640625 2418.06542969 -0.999292788975 -0.999292788975
4.8 23.04 110.592 530.8416 2548.03968 -0.996164608836 -0.996164608836
4.85 23.5225 114.084125 553.30800625 2683.54383031 -0.990546535967 -0.990546535967
4.9 24.01 117.649 576.4801 2824.75249 -0.982452612624 -0.982452612624
4.95 24.5025 121.287375 600.37250625 2971.84390594 -0.971903069402 -0.971903069402
